test_time_second,current_ampere,voltage_volt,surface_temperature_celsius
160.121999999999,-4.50003158200001,4.03335977215465,25
161.137999999999,-4.50004059382698,4.03316882580365,25
162.116000000002,-4.49995944768455,4.03259598675065,25
163.117000000002,-4.49995043585758,4.03240504039965,25
164.116000000002,-4.50000450681941,4.03221409404865,25
165.127,-4.49994138433093,4.03202314769765,25
166.121999999999,-4.49999549499244,4.03164125499566,25
167.121999999999,-4.50001351864639,4.03145030864466,25
168.133000000002,-4.49995944768455,4.03125936229366,25
169.128000000001,-4.49994138433093,4.03106841594266,25
170.128000000001,-4.49995944768455,4.03087746959166,25
171.128000000001,-4.49993237250395,4.03049557688966,25
172.127,-4.50000450681941,4.03030463053866,25
173.128000000001,-4.50013075179639,4.03011368418766,25
174.128000000001,-4.49999549499244,4.02973179148566,25
175.128000000001,-4.49999549499244,4.02954084513467,25
176.128000000001,-4.49992336067698,4.02934989878367,25
177.128000000001,-4.50004960565395,4.02896800608167,25
178.128000000001,-4.49996845951152,4.02877705973067,25
179.128000000001,-4.49995944768455,4.02858611337967,25
180.128000000001,-4.49998648316547,4.02858611337967,25
181.128000000001,-4.49996845951152,4.02820422067767,25
182.127,-4.50001355834606,4.02801327432667,25
183.128000000001,-4.49993237250395,4.02782232797567,25
184.128000000001,-4.49997747133849,4.02763138162467,25
185.128000000001,-4.50002257017304,4.02724948892268,25
186.127,-4.49990533702304,4.02705854257168,25
187.128000000001,-4.50004059382698,4.02667664986968,25
188.128000000001,-4.49995944768455,4.02648570351868,25
189.128000000001,-4.49998648316547,4.02629475716768,25
190.128000000001,-4.50004059382698,4.02629475716768,25
191.128000000001,-4.49998648316547,4.02591286446568,25
192.128000000001,-4.49999549499244,4.02572191811468,25
193.128000000001,-4.49998648316547,4.02553097176368,25
194.128000000001,-4.50012173996941,4.02534002541268,25
195.133000000002,-4.50002257017304,4.02514907906169,25
196.144,-4.49997747133849,4.02495813271069,25
197.139999999999,-4.50002257017304,4.02476718635969,25
198.139999999999,-4.50004059382698,4.02457624000869,25
199.139999999999,-4.50001355834606,4.02438529365769,25
200.138999999999,-4.4999503961579,4.02419434730669,25
201.139999999999,-4.50010371631547,4.02381245460469,25
202.138999999999,-4.49999549499244,4.02362150825369,25
203.138999999999,-4.49997747133849,4.02343056190269,25
204.138999999999,-4.50001351864639,4.02323961555169,25
205.139999999999,-4.5000676293079,4.0230486692007,25
206.138999999999,-4.49991434885001,4.0228577228497,25
207.138999999999,-4.50011272814244,4.0226667764987,25
208.138999999999,-4.49999549499244,4.0224758301477,25
209.162,-4.49995043585758,4.0222848837967,25
210.156999999999,-4.49997747133849,4.0220939374457,25
211.177,-4.50004059382698,4.0219029910947,25
212.172000000002,-4.49997747133849,4.0217120447437,25
213.191999999999,-4.50005861748093,4.0215210983927,25
214.188000000002,-4.50000450681941,4.0213301520417,25
215.187000000002,-4.50007668083455,4.0211392056907,25
216.187000000002,-4.50002257017304,4.0207573129887,25
217.208000000002,-4.49989632519606,4.02056636663771,25
218.204000000002,-4.50000450681941,4.02037542028671,25
219.224000000002,-4.49991434885001,4.02018447393571,25
220.219000000001,-4.49997747133849,4.01999352758471,25
221.219000000001,-4.50001351864639,4.01980258123371,25
222.219000000001,-4.50004960565395,4.01961163488271,25
223.219000000001,-4.50004059382698,4.01961163488271,25
224.219000000001,-4.50002257017304,4.01922974218071,25
225.219000000001,-4.50000450681941,4.01922974218071,25
226.219000000001,-4.50000450681941,4.01903879582971,25
227.219000000001,-4.49997747133849,4.01884784947871,25
228.219000000001,-4.49998648316547,4.01865690312771,25
229.219000000001,-4.4999414240306,4.01846595677672,25
230.219000000001,-4.50001351864639,4.01827501042572,25
231.220000000001,-4.49996845951152,4.01808406407472,25
232.219000000001,-4.50003158200001,4.01808406407472,25
233.219000000001,-4.50002257017304,4.01770217137272,25
234.219000000001,-4.49998648316547,4.01751122502172,25
235.219000000001,-4.49999549499244,4.01732027867072,25
236.219000000001,-4.49995944768455,4.01712933231972,25
237.219000000001,-4.50003158200001,4.01693838596872,25
238.220000000001,-4.50004059382698,4.01693838596872,25
239.219000000001,-4.49995944768455,4.01655649326672,25
240.219000000001,-4.50008569266152,4.01655649326672,25
241.220000000001,-4.49997747133849,4.01617460056473,25
242.219000000001,-4.50001351864639,4.01617460056473,25
243.219000000001,-4.50003158200001,4.01598365421373,25
244.220000000001,-4.49998648316547,4.01598365421373,25
245.220000000001,-4.50000450681941,4.01560176151173,25
246.220000000001,-4.50003158200001,4.01560176151173,25
247.220000000001,-4.49999549499244,4.01541081516073,25
248.219000000001,-4.49999549499244,4.01521986880973,25
249.219000000001,-4.50004059382698,4.01502892245873,25
250.220000000001,-4.49995944768455,4.01502892245873,25
251.219000000001,-4.50003158200001,4.01464702975673,25
252.219000000001,-4.50004059382698,4.01445608340573,25
253.220000000001,-4.50004059382698,4.01426513705473,25
254.219000000001,-4.4999414240306,4.01407419070374,25
255.220000000001,-4.50005861748093,4.01388324435274,25
256.220000000001,-4.49995944768455,4.01388324435274,25
257.220000000001,-4.49992336067698,4.01350135165074,25
258.219000000001,-4.50001351864639,4.01331040529974,25
259.220000000001,-4.49998648316547,4.01311945894874,25
260.220000000001,-4.50003158200001,4.01311945894874,25
261.220000000001,-4.49999549499244,4.01311945894874,25
262.220000000001,-4.49998648316547,4.01292851259774,25
263.220000000001,-4.50004960565395,4.01273756624674,25
264.220000000001,-4.50004059382698,4.01254661989574,25
265.220000000001,-4.49995043585758,4.01235567354474,25
266.220000000001,-4.50002257017304,4.01235567354474,25
267.220000000001,-4.49995944768455,4.01216472719374,25
268.220000000001,-4.49991434885001,4.01197378084275,25
269.220000000001,-4.49997747133849,4.01178283449175,25
270.220000000001,-4.49995944768455,4.01159188814075,25
271.220000000001,-4.50003158200001,4.01140094178975,25
272.219000000001,-4.50000450681941,4.01120999543875,25
273.220000000001,-4.50004059382698,4.01120999543875,25
274.220000000001,-4.50000450681941,4.01082810273675,25
275.220000000001,-4.49997747133849,4.01063715638575,25
276.220000000001,-4.50013976362336,4.01063715638575,25
277.220000000001,-4.50001355834606,4.01044621003475,25
278.220000000001,-4.50001355834606,4.01025526368375,25
279.220000000001,-4.49997747133849,4.01006431733275,25
280.220000000001,-4.49996845951152,4.01006431733275,25
281.220000000001,-4.50002257017304,4.01006431733275,25
282.219000000001,-4.50001351864639,4.00968242463076,25
283.220000000001,-4.49998648316547,4.00968242463076,25
284.219000000001,-4.50001355834606,4.00949147827976,25
285.220000000001,-4.49998648316547,4.00930053192876,25
286.220000000001,-4.49997747133849,4.00910958557776,25
287.219000000001,-4.49997747133849,4.00891863922676,25
288.219000000001,-4.49998648316547,4.00891863922676,25
